,N species,N individuals,H´,Hmax,EH
1C,24,1019,2.47,3.18,0.78
1F,19,958,2.02,2.94,0.68
1M,26,1178,1.86,3.26,0.57
1MF,23,1165,2.07,3.14,0.66
2C,28,1147,2.89,3.33,0.87
2F,29,1020,2.37,3.37,0.70
2M,30,1325,2.87,3.40,0.84
2MF,30,1468,2.45,3.40,0.72
3C,23,1008,2.13,3.14,0.68
3F,27,970,1.89,3.30,0.57
3M,22,856,2.21,3.09,0.71
3MF,27,937,2.47,3.30,0.75
4C,36,1053,2.79,3.58,0.78
4F,33,949,2.61,3.50,0.75
4M,35,1133,2.98,3.56,0.84
4MF,37,1222,2.90,3.61,0.80
5C,22,865,2.18,3.09,0.71
5F,33,1031,2.41,3.50,0.69
5M,24,1011,2.37,3.18,0.74
5MF,28,810,2.62,3.33,0.79
6C,39,1489,2.60,3.66,0.71
6F,38,1163,2.68,3.64,0.74
6M,35,1369,2.72,3.56,0.77
6MF,43,1400,3.06,3.76,0.81
7C,25,868,2.46,3.22,0.76
7F,30,1111,1.91,3.40,0.56
7M,26,1176,2.11,3.26,0.65
7MF,33,1121,2.60,3.50,0.74
8C,36,1694,2.56,3.58,0.71
8F,27,1059,2.67,3.30,0.81
8M,35,1315,2.78,3.56,0.78
8MF,32,968,2.80,3.47,0.81
