Treatment,N species,N individuals,H´,Hmax,EH
C,18,268,1.877535917,2.890371758,0.649582848
F,8,103,1.628122317,2.079441542,0.782961331
M,24,847,2.42262304,3.17805383,0.762297673
MF,18,634,2.018630877,2.890371758,0.698398353
C,17,169,2.19,2.83,0.77
F,12,154,1.77,2.48,0.71
M,26,1145,2.34,3.26,0.72
MF,15,1225,1.77,2.71,0.65
C,12,125,1.83,2.48,0.73
F,10,158,1.86,2.3,0.81
M,18,765,2.1,2.89,0.73
MF,22,730,1.86,3.09,0.6
C,14,169,2.13,2.64,0.81
F,15,133,2.17,2.71,0.8
M,25,1166,2.49,3.22,0.77
MF,24,970,2.1,3.18,0.66
C,14,123,2.23,2.64,0.85
F,6,161,1.43,1.79,0.8
M,23,735,2.23,3.14,0.71
MF,18,417,2.2,2.89,0.76
C,14,148,1.89,2.64,0.72
F,23,234,2.49,3.14,0.79
M,25,1074,2.61,3.22,0.81
MF,25,1081,2.26,3.22,0.7
C,17,121,2.23,2.83,0.79
F,10,123,1.49,2.3,0.65
M,17,721,1.99,2.83,0.7
MF,18,1203,2,2.89,0.69
C,24,296,2.41,3.18,0.76
F,20,339,2.56,3,0.86
M,29,1194,2.46,3.37,0.73
MF,23,809,2.56,3.14,0.82
